word: plain               count:40
word: foolish             count:40
word: fulfilled           count:40
word: goats               count:40
word: search              count:40
word: shekels             count:40
word: signs               count:40
word: sixth               count:40
word: sorrow              count:40
word: straightway         count:39
word: thoughts            count:39
word: instead             count:39
word: bought              count:39
word: iron                count:39
word: visit               count:39
word: job                 count:39
word: wept                count:39
word: kingdoms            count:39
word: laban               count:39
word: cease               count:39
word: ammon               count:39
word: others              count:39
word: flocks              count:39
word: prophesied          count:39
word: following           count:39
word: appoint             count:39
word: ghost               count:39
word: continually         count:39
word: salute              count:39
word: sanctuary           count:39
word: counted             count:39
word: haman               count:39
word: delight             count:38
word: truly               count:38
word: whereby             count:38
word: lawful              count:38
word: least               count:38
word: mordecai            count:38
word: oath                count:38
word: oxen                count:38
word: chronicles          count:38
word: perform             count:38
word: please              count:38
word: coasts              count:38
word: fool                count:38
word: queen               count:38
word: gift                count:38
word: saints              count:38
word: scatter             count:38
word: sick                count:38
word: created             count:38
word: sitteth             count:38
word: sleep               count:38
word: syria               count:37
word: thick               count:37
word: defile              count:37
word: inner               count:37
word: ass                 count:37
word: brass               count:37
word: jehoiada            count:37
word: washed              count:37
word: waxed               count:37
word: weight              count:37
word: worketh             count:37
word: wouldest            count:37
word: divers              count:37
word: bury                count:37
word: matter              count:37
word: molten              count:37
word: obeyed              count:37
word: palm                count:37
word: fair                count:37
word: pleasure            count:37
word: fierce              count:37
word: possessed           count:37
word: promised            count:37
word: forgotten           count:37
word: free                count:37
word: reuben              count:37
word: green               count:37
word: sitting             count:37
word: heal                count:37
word: stars               count:36
word: abundance           count:36
word: twentieth           count:36
word: violence            count:36
word: despise             count:36
word: joash               count:36
word: captive             count:36
word: balaam              count:36
word: multiply            count:36
word: olive               count:36
word: once                count:36
word: exalted             count:36
word: pay                 count:36
word: beat                count:36
word: fenced              count:36
word: pursued             count:36
word: compass             count:36
word: restore             count:36
word: rings               count:36
word: glorious            count:36
word: grass               count:36
word: covering            count:36
word: sides               count:36
word: staves              count:35
word: strengthened        count:35
word: blow                count:35
word: table               count:35
word: kid                 count:35
word: zadok               count:35
word: alone               count:35
word: eighth              count:35
word: ourselves           count:35
word: passeth             count:35
word: person              count:35
word: beaten              count:35
word: plead               count:35
word: bed                 count:35
word: posts               count:35
word: forgiven            count:35
word: beheld              count:35
